unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609921140,2021-01-06 08:19:00,BTC/USD,34575.44,34639.87,34569.93,34593.45,7.72277311,267157.3654421295
1609921080,2021-01-06 08:18:00,BTC/USD,34660.28,34704.50,34569.93,34620.00,12.43179661,430388.7986382
1609921020,2021-01-06 08:17:00,BTC/USD,34699.44,34715.18,34662.47,34666.08,6.14562868,213044.8554711744
1609920960,2021-01-06 08:16:00,BTC/USD,34716.94,34765.34,34699.44,34699.44,3.70560826,128582.5314813744
1609920900,2021-01-06 08:15:00,BTC/USD,34750.00,34750.00,34611.41,34712.14,28.06292621,974124.2234111894
1609920840,2021-01-06 08:14:00,BTC/USD,34837.06,34865.99,34762.31,34762.31,15.30490955,532034.0102990605
1609920780,2021-01-06 08:13:00,BTC/USD,34901.28,34901.45,34833.18,34846.54,4.91206927,171168.61829982582
1609920720,2021-01-06 08:12:00,BTC/USD,34963.41,34968.31,34900.00,34900.00,3.94996740,137853.86226
1609920660,2021-01-06 08:11:00,BTC/USD,34935.52,34970.13,34913.66,34970.13,7.60810118,266056.28731775336
1609920600,2021-01-06 08:10:00,BTC/USD,34955.59,34955.59,34934.08,34935.56,2.89281496,101062.11060397759
1609920540,2021-01-06 08:09:00,BTC/USD,34929.70,34994.30,34910.67,34963.11,10.04715371,351279.7403496381
1609920480,2021-01-06 08:08:00,BTC/USD,34954.05,34954.22,34900.00,34904.99,12.52754696,437273.90136333037
1609920420,2021-01-06 08:07:00,BTC/USD,34978.57,35001.54,34955.70,34955.70,10.62974670,371570.23672119
1609920360,2021-01-06 08:06:00,BTC/USD,35016.75,35016.75,34991.39,34991.39,11.73194690,410517.129437191
1609920300,2021-01-06 08:05:00,BTC/USD,35028.59,35046.07,34988.31,35018.90,3.11019650,108915.66021385
1609920240,2021-01-06 08:04:00,BTC/USD,35004.10,35035.00,34933.76,35011.11,79.24073153,2774305.9680772987
1609920180,2021-01-06 08:03:00,BTC/USD,35012.72,35028.73,34926.02,34986.75,31.50292486,1102184.956345605
1609920120,2021-01-06 08:02:00,BTC/USD,34977.98,35054.29,34977.98,34985.06,9.49805217,332289.9250505802
1609920060,2021-01-06 08:01:00,BTC/USD,34940.26,35028.90,34927.11,34976.24,94.02194554,3288534.1324739694
1609920000,2021-01-06 08:00:00,BTC/USD,34792.26,34955.00,34768.48,34955.00,57.63212519,2014530.93601645
